date,index,nav,outstanding
"Jan 09, 2019",5142.66,259.38,596300000.00
"Jan 08, 2019",5120.04,258.25,596000000.00
"Jan 07, 2019",5070.76,255.76,596250000.00
"Jan 04, 2019",5035.45,253.98,595900000.00
"Jan 03, 2019",4868.30,245.55,595300000.00
"Jan 02, 2019",4990.56,251.72,594200000.00
"Dec 31, 2018",4984.22,251.40,594150000.00
"Dec 28, 2018",4941.61,249.25,592500000.00
"Dec 27, 2018",4946.94,249.84,590450000.00
"Dec 26, 2018",4904.49,247.70,589250000.00
"Dec 24, 2018",4672.66,235.99,589250000.00
"Dec 21, 2018",4802.51,242.55,588100000.00
"Dec 20, 2018",4903.46,247.65,585900000.00
"Dec 19, 2018",4981.92,251.61,585800000.00
"Dec 18, 2018",5059.34,255.52,584000000.00
"Dec 17, 2018",5058.58,255.49,580850000.00
"Dec 14, 2018",5165.60,262.37,580700000.00
"Dec 13, 2018",5265.46,267.44,580200000.00
"Dec 12, 2018",5265.53,267.44,579150000.00
"Dec 11, 2018",5237.10,266.00,578650000.00
"Dec 10, 2018",5238.70,266.08,581350000.00
"Dec 07, 2018",5229.44,265.61,584800000.00
"Dec 06, 2018",5353.43,271.91,585000000.00
"Dec 04, 2018",5359.91,272.24,585000000.00
"Dec 03, 2018",5538.86,281.33,584200000.00
"Nov 30, 2018",5478.91,278.28,584750000.00
"Nov 29, 2018",5433.49,275.98,585950000.00
"Nov 28, 2018",5444.12,276.52,586050000.00
"Nov 27, 2018",5321.52,270.29,586250000.00
"Nov 26, 2018",5304.17,269.41,586100000.00
"Nov 23, 2018",5222.43,265.26,584900000.00
"Nov 21, 2018",5256.61,266.99,584850000.00
"Nov 20, 2018",5240.23,266.16,583850000.00
"Nov 19, 2018",5336.70,271.07,582900000.00
"Nov 16, 2018",5426.86,275.65,583150000.00
"Nov 15, 2018",5414.43,275.01,582150000.00
"Nov 14, 2018",5355.94,272.04,581350000.00
"Nov 13, 2018",5395.37,274.05,579950000.00
"Nov 12, 2018",5403.19,274.44,579450000.00
"Nov 09, 2018",5511.79,279.96,579150000.00
"Nov 08, 2018",5562.00,282.51,577300000.00
"Nov 07, 2018",5573.06,283.08,582450000.00
"Nov 06, 2018",5457.25,277.19,582300000.00
"Nov 05, 2018",5422.88,275.45,582700000.00
"Nov 02, 2018",5392.53,273.90,581700000.00
"Nov 01, 2018",5426.33,275.62,580650000.00
"Oct 31, 2018",5369.49,272.73,581450000.00
"Oct 30, 2018",5311.67,269.80,579400000.00
"Oct 29, 2018",5229.28,265.61,579400000.00
"Oct 26, 2018",5263.74,267.36,578650000.00
"Oct 25, 2018",5356.54,272.07,578600000.00
"Oct 24, 2018",5258.61,267.10,570850000.00
"Oct 23, 2018",5426.08,275.61,569700000.00
"Oct 22, 2018",5455.88,277.12,569100000.00
"Oct 19, 2018",5479.30,278.31,569100000.00
"Oct 18, 2018",5481.13,278.41,568900000.00
"Oct 17, 2018",5560.62,282.45,569050000.00
"Oct 16, 2018",5561.80,282.51,567800000.00
"Oct 15, 2018",5444.61,276.55,567450000.00
"Oct 12, 2018",5476.83,278.19,567700000.00
